"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\help.js", "JavaScript", 0, 130, 0, 0, 2, 5, 137
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\invite.js", "JavaScript", 0, 25, 0, 0, 1, 2, 28
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\invites.js", "JavaScript", 0, 40, 0, 0, 4, 10, 54
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\ping.js", "JavaScript", 0, 28, 0, 0, 1, 4, 33
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\role.js", "JavaScript", 0, 74, 0, 0, 1, 9, 84
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\serverinfo.js", "JavaScript", 0, 77, 0, 0, 8, 5, 90
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\stats.js", "JavaScript", 0, 67, 0, 0, 4, 6, 77
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\whois.js", "JavaScript", 0, 37, 0, 0, 2, 6, 45
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\avatar.js", "JavaScript", 0, 34, 0, 0, 1, 3, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\bug.js", "JavaScript", 0, 29, 0, 0, 1, 3, 33
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\define.js", "JavaScript", 0, 28, 0, 0, 1, 6, 35
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\esnipe.js", "JavaScript", 0, 34, 0, 0, 1, 3, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\nickname.js", "JavaScript", 0, 39, 0, 0, 1, 4, 44
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\remindme.js", "JavaScript", 0, 49, 0, 0, 1, 4, 54
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\reverse.js", "JavaScript", 0, 27, 0, 0, 1, 4, 32
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\rps.js", "JavaScript", 0, 50, 0, 0, 1, 6, 57
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\say.js", "JavaScript", 0, 21, 0, 0, 1, 3, 25
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\snipe.js", "JavaScript", 0, 33, 0, 0, 1, 3, 37
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\suggest.js", "JavaScript", 0, 28, 0, 0, 1, 3, 32
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\vote.js", "JavaScript", 0, 22, 0, 0, 1, 3, 26
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\addrole.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\ban.js", "JavaScript", 0, 55, 0, 0, 2, 5, 62
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\clear.js", "JavaScript", 0, 37, 0, 0, 1, 4, 42
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\clearwarn.js", "JavaScript", 0, 49, 0, 0, 1, 10, 60
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\kick.js", "JavaScript", 0, 42, 0, 0, 1, 9, 52
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\lock.js", "JavaScript", 0, 23, 0, 0, 1, 5, 29
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\mute.js", "JavaScript", 0, 89, 0, 0, 4, 20, 113
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\nuke.js", "JavaScript", 0, 28, 0, 0, 1, 5, 34
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\selfmute.js", "JavaScript", 0, 41, 0, 0, 1, 6, 48
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\slowmode.js", "JavaScript", 0, 26, 0, 0, 1, 5, 32
