Date : 2021-03-01 14:22:51
Directory : c:\Users\chord\Documents\GitHub\Nuggies
Total : 161 files,  12083 codes, 271 comments, 632 blanks, all 12986 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\8ball.js           | JavaScript |         28 |          1 |          3 |         32 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\anime.js           | JavaScript |         41 |          1 |          4 |         46 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\ascii.js           | JavaScript |         27 |          1 |          6 |         34 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\choose.js          | JavaScript |         29 |          1 |          4 |         34 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\clyde.js           | JavaScript |         33 |          1 |          5 |         39 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\dare.js            | JavaScript |        139 |          1 |          5 |        145 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\drip.js            | JavaScript |         27 |          6 |          2 |         35 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\emojify.js         | JavaScript |         42 |          1 |          8 |         51 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\fact.js            | JavaScript |         71 |          1 |          8 |         80 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\gayrate.js         | JavaScript |         26 |          1 |          4 |         31 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\imdb.js            | JavaScript |         59 |          1 |          5 |         65 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\joke.js            | JavaScript |         27 |          1 |          5 |         33 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\meme.js            | JavaScript |         28 |          1 |          4 |         33 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\monke.js           | JavaScript |         31 |          1 |          2 |         34 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\penis.js           | JavaScript |         34 |          1 |          4 |         39 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\phcomment.js       | JavaScript |         46 |          1 |          4 |         51 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\rip.js             | JavaScript |         26 |          1 |          3 |         30 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\simprate.js        | JavaScript |         26 |          1 |          4 |         31 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\tobecontinued.js   | JavaScript |         26 |          1 |          3 |         30 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\triggered.js       | JavaScript |         26 |          1 |          3 |         30 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\truth.js           | JavaScript |        318 |          1 |          4 |        323 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\xd.js              | JavaScript |         19 |          1 |          4 |         24 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\channel.js        | JavaScript |        114 |          1 |          6 |        121 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\help.js           | JavaScript |        130 |          2 |          5 |        137 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\invite.js         | JavaScript |         25 |          1 |          2 |         28 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\invites.js        | JavaScript |         40 |          4 |         10 |         54 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\ping.js           | JavaScript |         28 |          1 |          4 |         33 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\role.js           | JavaScript |         74 |          1 |          9 |         84 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\serverinfo.js     | JavaScript |         77 |          8 |          5 |         90 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\stats.js          | JavaScript |         67 |          4 |          6 |         77 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\whois.js          | JavaScript |         37 |          2 |          6 |         45 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\avatar.js         | JavaScript |         34 |          1 |          3 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\bug.js            | JavaScript |         29 |          1 |          3 |         33 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\define.js         | JavaScript |         28 |          1 |          6 |         35 |
